orig_depth,orig_direction,orig_max,orig_mean,orig_median,orig_min,orig_origin,orig_size,orig_spacing,orig_std,path
117,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-773.448982043144,-852.0,-2048,"(-250.0, -250.0, -310.0)","(512, 512, 117)","(0.976562, 0.976562, 2.5)",798.456383294533,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0248/01-01-2000-CT CAP-48096/6-Recon 3 C-A-P-95302
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16312,7729.3200915058005,8517.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3187.595048957277,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0248/01-01-2000-CHEST PA  LATERAL-37181/47137-CHEST PA  LATERAL-43097
197,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-849.6620101154153,-948.0,-2048,"(-238.10000610351562, -220.0, -273.25)","(512, 512, 197)","(0.859375, 0.859375, 1.25)",752.8396980582121,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0091/01-01-2000-CT ANGIO CHEST WWO C-79589/2-BOTTOM TO TOP-78441
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16374,7844.216074077999,8375.0,0,"(0.0, 0.0, 0.0)","(1736, 2022, 2)","(1.0, 1.0, 1.0)",3549.3434098443195,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0091/01-01-2000-CHEST 2 VIEW-13251/39464-CHEST 2 VIEW-77903
497,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1861,-976.3134189736196,-871.0,-3024,"(-195.5, -190.3000030517578, -336.5050048828125)","(512, 512, 497)","(0.761719, 0.761719, 0.625)",1148.6992992642172,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0681/01-01-2000-CHEST-06344/31346-Recon 2 ACRIN LARGE-62196
127,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-873.6671019426481,-973.0,-2048,"(-165.0, -165.0, -320.25)","(512, 512, 127)","(0.644531, 0.644531, 2.5)",766.9026623662921,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0986/01-01-2000-CT THORAX WCONTRAST-49344/3-64266
252,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-934.3532520627218,-785.0,-3024,"(-174.3000030517578, -180.0, -330.3999938964844)","(512, 512, 252)","(0.703125, 0.703125, 1.25)",1179.0010471386875,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0894/01-01-2000-CT LUNG SCREEN-79315/20244
246,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2438,-1031.7024793392275,-911.0,-3024,"(-183.60000610351562, -168.10000610351562, -313.75)","(512, 512, 246)","(0.703125, 0.703125, 1.25)",1122.9815323468088,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0833/01-01-2000-CT CHEST WO CONTRAST-12648/2-43064
119,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3024,-717.5935354473211,-710.0,-2048,"(-153.125, -158.5937042236328, 1364.0)","(512, 512, 119)","(0.64, 0.64, 3.0)",811.1433591684978,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0355/01-01-2000-41454/3190-45197
121,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-420.78098568246384,-123.0,-1024,"(-156.693359375, -295.693359375, -372.0)","(512, 512, 121)","(0.61328125, 0.61328125, 3.0)",481.05515309977795,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0355/01-01-2000-27898/5512-ThoraxRoutine  3.0  B31s-30926
